
Изменение параметров за 169 витков:
+---------------------+----------------------+--------------------+------------------------+-----------------------+
|         ДВУ         | Аргумент перицентра  |  Большая полуось   |     Эксцентриситет     |       Наклонение      |
+---------------------+----------------------+--------------------+------------------------+-----------------------+
| -0.4077333437496822 | -0.19314783659419144 | 2532.6170303327963 | 0.00021904168944755775 | 8.188177021462018e-05 |
+---------------------+----------------------+--------------------+------------------------+-----------------------+



Параметры орбиты в начале каждого витка:
+-------------+---------------------+---------------------+--------------------+---------------------+--------------------+------------------------+
| Номер витка |         ДВУ         | Аргумент перицентра |  Большая полуось   |    Эксцентриситет   |     Наклонение     |   Истинная аномалия    |
+-------------+---------------------+---------------------+--------------------+---------------------+--------------------+------------------------+
|      1      |  0.6999997962801445 |  1.3699967016310808 | 8058997.891258155  | 0.14999977763169847 | 1.1999999613766386 | 0.0002422070172016788  |
|      2      |  0.697591349193434  |  1.3688295875460397 | 8058954.457000508  | 0.15000016085697987 | 1.200018107889678  | 5.9560232585909034e-05 |
|      3      |  0.6951859230783642 |  1.3677020356465688 | 8058984.452701326  | 0.15000734229519566 | 1.2000302714095237 | 0.00012344509027317763 |
|      4      |  0.6927788651646073 |  1.3665821466085033 | 8059052.914315199  | 0.15001519653255013 | 1.200036661263937  | 0.0002102656149385318  |
|      5      |  0.6903681749147608 |  1.365511358762773  | 8059145.289386896  | 0.15001587009433331 |  1.20002269298862  | 0.00023838501093154107 |
|      6      |  0.6879498418003451 |  1.3643737108385943 |  8059203.03169774  | 0.15002011795590528 | 1.1999967408976875 | 0.00023884962852815939 |
|      7      |  0.6855286086652027 |  1.3632141750907851 | 8059111.012050567  | 0.15001668329360787 | 1.1999959669079079 | 0.00021453761947642924 |
|      8      |  0.6831104975467814 |  1.3620890414837739 | 8058998.809842809  | 0.15000211958788595 | 1.2000250578158675 | 0.00023835833612229074 |
|      9      |  0.6807000472228366 |  1.3610064539809108 | 8059011.496906533  |  0.1500011061969398 | 1.200042896118604  |  6.14602703907785e-05  |
|      10     |  0.6783015620702623 |  1.3598955571603701 | 8059072.321289782  |  0.150001076539139  | 1.200039752697466  | 0.00015863116941661204 |
|      11     |  0.6758985361442004 |  1.3587570304469605 | 8059124.751669914  | 0.15001826638832916 | 1.2000133005339733 | 0.0002331389350773705  |
|      12     |  0.673465824369843  |  1.3575035671707103 | 8059147.287157896  |  0.1500182515936815 | 1.199999303170753  | 0.0001788113344676212  |
|      13     |  0.6710486380326411 |  1.3562841237485608 | 8059117.238714642  | 0.15000949349092926 | 1.2000038273942144 | 3.529725209650003e-05  |
|      14     |  0.6686401464350445 |  1.3551242391628295 | 8059079.446575981  | 0.15001081122631185 | 1.2000225760918948 | 9.068679767532117e-05  |
|      15     |  0.6662349518883464 |  1.3539958122166718 | 8059121.996256208  | 0.15001966278603165 | 1.2000336429943117 | 0.0001586970543490107  |
|      16     |  0.6638275480924865 |  1.3528826352723498 | 8059193.614645481  |  0.1500261217074839 | 1.2000391136917603 | 0.0002415500417607408  |
|      17     |  0.6614165635115997 |  1.3518083402348533 | 8059291.557650901  | 0.15002767754946336 | 1.2000217907029425 | 2.6454593277769334e-05 |
|      18     |  0.6589975185736497 |  1.3506663757390882 | 8059329.018036759  | 0.15003077209700597 | 1.1999973657047658 | 1.990898606551994e-05  |
|      19     |  0.6565760702629061 |  1.3495065667359694 | 8059217.764925707  | 0.15002465832973805 | 1.200001588586778  | 6.759207722417671e-07  |
|      20     |  0.6541588256188312 |  1.3483917278831694 | 8059125.539746376  |  0.1500119190655241 | 1.2000303487949986 | 2.5512628895496547e-05 |
|      21     |  0.6517490230194066 |  1.3473033525969575 |  8059152.31225823  | 0.15001153776924792 | 1.2000459524017364 | 9.945533075406132e-05  |
|      22     |  0.6493523552460853 |  1.3461887555670342 | 8059212.844725251  |  0.1500125279352785 | 1.2000403040529029 | 0.00019537562404026154 |
|      23     |  0.6469452912623119 |  1.3450441552915768 | 8059264.019521748  | 0.15003184334131905 | 1.2000131650486727 |  3.37673931922744e-05  |
|      24     |  0.6445124513220699 |  1.3437820613492701 | 8059279.528554433  | 0.15002725697097827 | 1.2000016022796265 | 0.00022288060211095306 |
|      25     |  0.6420972267872497 |  1.3425683511038293 | 8059241.599122938  | 0.15001976417317656 | 1.200008135754318  | 7.086530868183338e-05  |
|      26     |  0.639688880889873  |  1.3414180289806916 | 8059214.890358013  | 0.15002222942740248 | 1.2000269703679245 | 0.00012339496003721528 |
|      27     |  0.6372838322374732 |  1.3402883505890852 | 8059268.227306802  | 0.15003255209867702 | 1.200037111433862  | 0.0001958363191032486  |
|      28     |   0.63487627702092  |  1.3391862232122267 | 8059345.246961714  | 0.15003778432483914 | 1.2000413419261513 | 3.075943329355901e-05  |
|      29     |  0.6324645283221966 |  1.3380995053912932 |  8059441.93842452  | 0.15003983036965218 | 1.2000209252793013 | 5.7679497494023124e-05 |
|      30     |  0.6300449418418025 |  1.3369553563266487 | 8059455.776867977  | 0.15004155525664134 | 1.1999984592732411 | 4.2944688563251177e-05 |
|      31     |  0.6276232172750529 |  1.3357965423194855 | 8059331.102727987  | 0.15003293180191357 | 1.2000077890480694 | 2.9783675644434737e-05 |
|      32     |  0.6252068994861812 |  1.334689959022975  | 8059261.743624282  |  0.1500226126100036 | 1.2000356581663612 | 5.727085867546222e-05  |
|      33     |  0.6227981160610452 |  1.3335976848277653 |  8059301.67697474  |  0.150022569620589  | 1.2000488296734404 | 0.0001399099342753729  |
